,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100-
1944,4295,4350,4296,4027,3453,2809,2686,2313,2079,1758,1454,1339,1220,1018,667,407,268,0,0,0,0
1945,4568,4242,4279,3971,3441,2811,2642,2325,2043,1757,1443,1308,1137,957,632,337,153,58,0,0,0
1946,3882,4319,4306,4033,3566,2913,2663,2471,2019,1838,1510,1310,1147,972,691,342,169,60,0,0,0
1947,4764,4502,4363,4119,3699,3081,2767,2552,2081,1895,1532,1328,1113,955,675,337,156,53,0,0,0
1948,4997,4613,4350,4183,3782,3201,2787,2601,2136,1938,1592,1334,1129,958,694,358,165,54,0,0,0
1949,5211,4803,4290,4207,3855,3327,2754,2645,2223,1966,1627,1343,1160,963,719,385,171,59,0,0,0
1950,5487,4698,4300,4250,3890,3363,2842,2672,2284,1986,1669,1370,1194,975,741,418,180,67,0,0,0
1951,5734,4480,4384,4299,3961,3480,2888,2711,2404,1966,1730,1416,1211,962,743,454,256,0,0,0,0
1952,5519,4626,4462,4338,4027,3587,2986,2713,2471,2010,1796,1445,1234,976,765,748,0,0,0,0,0
1953,5188,4867,4567,4329,4102,3681,3105,2721,2527,2059,1844,1504,1239,992,773,492,295,0,0,0,0
1954,4802,5102,4775,4274,4158,3782,3256,2699,2585,2160,1889,1542,1249,1028,783,516,314,0,0,0,0
1955,4521,5406,4692,4284,4207,3829,3320,2796,2621,2232,1920,1598,1270,1048,799,534,245,94,0,0,0
1956,4291,5667,4466,4357,4268,3896,3442,2856,2656,2348,1909,1655,1324,1065,792,546,266,100,0,0,0
1957,4083,5465,4620,4459,4303,3974,3540,2949,2663,2418,1951,1715,1359,1082,801,552,277,106,0,0,0
1958,3957,5139,4868,4567,4291,4051,3633,3066,2672,2477,1998,1764,1414,1097,814,563,293,116,0,0,0
1959,3907,4750,5100,4760,4235,4099,3727,3211,2648,2530,2088,1805,1446,1110,843,571,308,126,0,0,0
