,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100-,
1944,4417,4453,4388,3836,1778,1828,2042,2177,2138,1863,1533,1326,1096,843,500,265,141,0,0,0,0,
1945,4683,4339,4366,3849,2024,1604,1806,1983,2047,1830,1506,1290,1005,775,463,215,84,26,0,0,0,
1946,3976,4415,4386,3977,2791,1811,1990,2093,2026,1899,1575,1300,1023,790,509,222,93,28,0,0,0,
1947,4898,4597,4449,4145,3362,2411,2381,2330,2111,1964,1600,1317,997,764,485,213,82,23,0,0,0,
1948,5178,4720,4439,4238,3586,2493,2370,2345,2131,2000,1657,1331,1029,771,503,228,89,23,0,0,0,
1949,5425,4919,4382,4276,3748,2660,2324,2363,2173,2017,1688,1345,1073,781,524,247,92,26,0,0,0,
1950,5719,4826,4401,4318,3836,2822,2360,2376,2199,2019,1719,1379,1110,796,540,268,96,29,0,0,0,
1951,5970,4612,4481,4382,3913,3041,2343,2386,2260,2002,1775,1429,1136,792,544,292,134,0,0,0,0,
1952,5748,4776,4570,4426,4027,3285,2384,2363,2275,2013,1836,1461,1169,813,562,443,0,0,0,0,0,
1953,5410,5040,4680,4417,4123,3497,2465,2338,2294,2034,1876,1518,1180,846,567,314,150,0,0,0,0,
1954,5017,5297,4895,4363,4198,3663,2632,2284,2319,2090,1909,1556,1198,890,578,332,159,0,0,0,0,
1955,4726,5637,4816,4341,4196,3775,2797,2320,2325,2136,1929,1608,1227,919,594,342,133,40,0,0,0,
1956,4489,5909,4592,4435,4263,3861,3032,2318,2333,2196,1908,1664,1279,943,593,352,145,42,0,0,0,
1957,4278,5695,4769,4552,4306,3946,3258,2356,2315,2215,1930,1714,1315,964,608,354,149,45,0,0,0,
1958,4151,5354,5044,4672,4307,4020,3468,2437,2291,2234,1950,1754,1366,980,634,361,158,49,0,0,0,
1959,4101,4952,5298,4874,4262,4072,3623,2602,2236,2255,1999,1784,1398,997,667,368,166,53,0,0,0,
1960,4013,4702,5620,4678,4125,4095,3747,2763,2274,2257,2041,1802,1438,1027,694,377,169,56,0,0,0,
1961,3974,4467,5896,4486,4213,4130,3830,2998,2275,2266,2100,1781,1493,1072,711,377,174,61,0,0,0,
1962,4004,4253,5678,4698,4340,4141,3910,3223,2314,2251,2123,1801,1548,1104,730,389,175,63,0,0,0,
1963,4041,4115,5344,4997,4476,4117,3973,3437,2396,2228,2145,1822,1588,1151,745,408,182,66,0,0,0,
1964,4078,4055,4952,5272,4703,4061,4004,3595,2560,2177,2164,1871,1615,1182,762,435,186,71,0,0,0,
1965,4150,3995,4670,5478,4496,4157,4147,3748,2730,2225,2173,1930,1625,1219,789,452,187,74,0,0,0,
1966,4085,3965,4442,5787,4286,4210,4194,3844,2968,2223,2187,1987,1615,1270,826,466,190,79,0,0,0,
1967,4226,3991,4231,5606,4496,4290,4209,3937,3196,2266,2177,2003,1649,1319,857,484,200,82,0,0,0,
1968,4346,4017,4103,5303,4801,4376,4183,4010,3414,2350,2159,2024,1675,1357,896,495,212,84,0,0,0,
